,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
25,0.733,0.402,9,-8.774,1,0.0337,0.707,0.0,0.111,0.15,108.005,audio_features,7sQhhSlMui3JOZ4s2j4IjM,spotify:track:7sQhhSlMui3JOZ4s2j4IjM,https://api.spotify.com/v1/tracks/7sQhhSlMui3JOZ4s2j4IjM,https://api.spotify.com/v1/audio-analysis/7sQhhSlMui3JOZ4s2j4IjM,146667,4
26,0.777,0.457,4,-6.525,1,0.0823,0.481,0.0,0.114,0.652,136.037,audio_features,3a2u2qDijKes0TpHczoVYB,spotify:track:3a2u2qDijKes0TpHczoVYB,https://api.spotify.com/v1/tracks/3a2u2qDijKes0TpHczoVYB,https://api.spotify.com/v1/audio-analysis/3a2u2qDijKes0TpHczoVYB,162353,4
27,0.409,0.504,7,-5.62,1,0.0448,0.76,0.0,0.344,0.499,169.244,audio_features,4dO4oVzvRrRRsJgaT4ORlM,spotify:track:4dO4oVzvRrRRsJgaT4ORlM,https://api.spotify.com/v1/tracks/4dO4oVzvRrRRsJgaT4ORlM,https://api.spotify.com/v1/audio-analysis/4dO4oVzvRrRRsJgaT4ORlM,168000,4
28,0.741,0.553,2,-9.026,1,0.239,0.859,0.0,0.133,0.738,74.962,audio_features,5qwfWcdl8h0EhhSVTTH8gN,spotify:track:5qwfWcdl8h0EhhSVTTH8gN,https://api.spotify.com/v1/tracks/5qwfWcdl8h0EhhSVTTH8gN,https://api.spotify.com/v1/audio-analysis/5qwfWcdl8h0EhhSVTTH8gN,153600,4
29,0.387,0.375,3,-9.172,1,0.273,0.822,0.000154,0.109,0.418,73.045,audio_features,2KX7ZC9JL8BAeFnCrcVRHE,spotify:track:2KX7ZC9JL8BAeFnCrcVRHE,https://api.spotify.com/v1/tracks/2KX7ZC9JL8BAeFnCrcVRHE,https://api.spotify.com/v1/audio-analysis/2KX7ZC9JL8BAeFnCrcVRHE,140720,4
30,0.609,0.394,0,-10.142,1,0.209,0.757,0.00034,0.127,0.191,172.031,audio_features,1xVLISbNzP6MlhuwU5wciP,spotify:track:1xVLISbNzP6MlhuwU5wciP,https://api.spotify.com/v1/tracks/1xVLISbNzP6MlhuwU5wciP,https://api.spotify.com/v1/audio-analysis/1xVLISbNzP6MlhuwU5wciP,224826,4
31,0.379,0.354,3,-12.425,1,0.0435,0.685,0.0603,0.0699,0.118,143.601,audio_features,6jOhRHRWnahPwpgwxKBikW,spotify:track:6jOhRHRWnahPwpgwxKBikW,https://api.spotify.com/v1/tracks/6jOhRHRWnahPwpgwxKBikW,https://api.spotify.com/v1/audio-analysis/6jOhRHRWnahPwpgwxKBikW,175150,4
32,0.548,0.341,0,-11.667,0,0.397,0.708,0.0,0.121,0.34,71.573,audio_features,0k2bhZ9oM3boyUWaV3MfWk,spotify:track:0k2bhZ9oM3boyUWaV3MfWk,https://api.spotify.com/v1/tracks/0k2bhZ9oM3boyUWaV3MfWk,https://api.spotify.com/v1/audio-analysis/0k2bhZ9oM3boyUWaV3MfWk,182417,4
33,0.57,0.572,0,-6.439,1,0.0324,0.567,0.0,0.422,0.671,86.993,audio_features,0WaA919LzRGNaEzpaHETpa,spotify:track:0WaA919LzRGNaEzpaHETpa,https://api.spotify.com/v1/tracks/0WaA919LzRGNaEzpaHETpa,https://api.spotify.com/v1/audio-analysis/0WaA919LzRGNaEzpaHETpa,168965,4
34,0.84,0.437,2,-8.294,1,0.074,0.564,0.0,0.109,0.323,87.503,audio_features,1YJCTQPM2nrMzEhPuze4lN,spotify:track:1YJCTQPM2nrMzEhPuze4lN,https://api.spotify.com/v1/tracks/1YJCTQPM2nrMzEhPuze4lN,https://api.spotify.com/v1/audio-analysis/1YJCTQPM2nrMzEhPuze4lN,132000,4
35,0.435,0.521,7,-6.053,1,0.0559,0.127,0.0,0.152,0.664,199.982,audio_features,4mWB2IBYJRQ3m1e67lFWEe,spotify:track:4mWB2IBYJRQ3m1e67lFWEe,https://api.spotify.com/v1/tracks/4mWB2IBYJRQ3m1e67lFWEe,https://api.spotify.com/v1/audio-analysis/4mWB2IBYJRQ3m1e67lFWEe,178430,4
36,0.548,0.341,0,-11.667,0,0.397,0.708,0.0,0.121,0.34,71.573,audio_features,5O6QAX1oI4iktfXP8HAmgi,spotify:track:5O6QAX1oI4iktfXP8HAmgi,https://api.spotify.com/v1/tracks/5O6QAX1oI4iktfXP8HAmgi,https://api.spotify.com/v1/audio-analysis/5O6QAX1oI4iktfXP8HAmgi,182417,4
37,0.694,0.328,8,-9.844,1,0.0334,0.83,0.0,0.108,0.371,122.039,audio_features,2AFkO878iaoha59V5SDeXm,spotify:track:2AFkO878iaoha59V5SDeXm,https://api.spotify.com/v1/tracks/2AFkO878iaoha59V5SDeXm,https://api.spotify.com/v1/audio-analysis/2AFkO878iaoha59V5SDeXm,147541,4
38,0.769,0.595,8,-7.605,1,0.055,0.548,0.0,0.0864,0.679,158.045,audio_features,5Okrz6AYoHlzGRWLEeSrrX,spotify:track:5Okrz6AYoHlzGRWLEeSrrX,https://api.spotify.com/v1/tracks/5Okrz6AYoHlzGRWLEeSrrX,https://api.spotify.com/v1/audio-analysis/5Okrz6AYoHlzGRWLEeSrrX,176203,4
39,0.805,0.479,6,-9.238,0,0.363,0.182,3.41e-06,0.346,0.363,80.454,audio_features,25yup6WYnPoITrfzhkBLmt,spotify:track:25yup6WYnPoITrfzhkBLmt,https://api.spotify.com/v1/tracks/25yup6WYnPoITrfzhkBLmt,https://api.spotify.com/v1/audio-analysis/25yup6WYnPoITrfzhkBLmt,152500,4
40,0.529,0.454,7,-5.499,1,0.0959,0.125,0.0,0.183,0.457,108.316,audio_features,74tswKcYGnbqDd9zbPHAgW,spotify:track:74tswKcYGnbqDd9zbPHAgW,https://api.spotify.com/v1/tracks/74tswKcYGnbqDd9zbPHAgW,https://api.spotify.com/v1/audio-analysis/74tswKcYGnbqDd9zbPHAgW,177181,4
41,0.443,0.551,4,-5.667,1,0.026,0.121,0.0,0.334,0.683,168.099,audio_features,4hk4plGoAmg3naYTq8EUul,spotify:track:4hk4plGoAmg3naYTq8EUul,https://api.spotify.com/v1/tracks/4hk4plGoAmg3naYTq8EUul,https://api.spotify.com/v1/audio-analysis/4hk4plGoAmg3naYTq8EUul,163852,4
42,0.572,0.747,10,-6.237,1,0.0943,0.13,2.93e-05,0.108,0.3,158.051,audio_features,7IDtjwGe1kCJiUgk4WrTLj,spotify:track:7IDtjwGe1kCJiUgk4WrTLj,https://api.spotify.com/v1/tracks/7IDtjwGe1kCJiUgk4WrTLj,https://api.spotify.com/v1/audio-analysis/7IDtjwGe1kCJiUgk4WrTLj,155275,4
43,0.532,0.567,7,-5.179,1,0.064,0.03,0.0,0.13,0.531,148.025,audio_features,1CT87qQRcn2tCTpDSmRvXZ,spotify:track:1CT87qQRcn2tCTpDSmRvXZ,https://api.spotify.com/v1/tracks/1CT87qQRcn2tCTpDSmRvXZ,https://api.spotify.com/v1/audio-analysis/1CT87qQRcn2tCTpDSmRvXZ,118931,4
44,0.445,0.7,5,-6.605,1,0.323,0.0351,0.0,0.426,0.354,176.941,audio_features,5TQZVwKFbGu7oqhT9J3OLf,spotify:track:5TQZVwKFbGu7oqhT9J3OLf,https://api.spotify.com/v1/tracks/5TQZVwKFbGu7oqhT9J3OLf,https://api.spotify.com/v1/audio-analysis/5TQZVwKFbGu7oqhT9J3OLf,107856,4
